code,points,name,group,subgroup
62001C,1300,－ 直徑小於一公分 within 1cm in diameter,第七節,顏面皮膚及皮下腫瘤切除術
62002C,2520,－ 直徑一至二公分 1cm to 2cm in diameter,第七節,顏面皮膚及皮下腫瘤切除術
62003C,5514,－ 直徑超過二公分 over 2cm in diameter,第七節,顏面皮膚及皮下腫瘤切除術
62007C,5929,"皮膚全層植補術 FTSG - 小於十平方公分 Full thickness skin graft, (FTSG)",第七節,顏面皮膚及皮下腫瘤切除術
62008B,9360,管形皮膚移植術 Tube pedicle graft,第七節,顏面皮膚及皮下腫瘤切除術
62009C,2290,"肌肉或深部組織腫瘤切除術及異物取出術 Excision of muscle or deep tissue tumor, deep foreign body",第七節,顏面皮膚及皮下腫瘤切除術
62010C,1623,－ 小 小於二公分 within 2cm,第七節,臉部以外皮膚及皮下腫瘤摘除術
62011C,1927,－ 中 二公分至四公分 2 to 4cm,第七節,臉部以外皮膚及皮下腫瘤摘除術
62012C,3371,－ 大 四公分至十公分 4 to10cm,第七節,臉部以外皮膚及皮下腫瘤摘除術
62013C,5751,交指皮瓣移植術 Cross finger skin flap,第七節,臉部以外皮膚及皮下腫瘤摘除術
62014C,4544,－小於二十五平方公分 within 25 c㎡,第七節,臉部以外皮膚及皮下腫瘤摘除術
62015B,5267,－二十五至一百平方公分 25 to 100 c㎡,第七節,臉部以外皮膚及皮下腫瘤摘除術
62016B,3588,－每增加一百平方公分 every incerase of 100c㎡,第七節,臉部以外皮膚及皮下腫瘤摘除術
62017C,3247,複合移植 Composite graft,第七節,臉部以外皮膚及皮下腫瘤摘除術
62018C,4352,Ｚ－形皮瓣 Z-plasty,第七節,臉部以外皮膚及皮下腫瘤摘除術
62019B,3030,氬氣雷射治療 Argon laser therapy,第七節,臉部以外皮膚及皮下腫瘤摘除術
62020B,3213,二氧化碳雷射手術 CO2 laser operation 註：不得同時申報65079B。,第七節,臉部以外皮膚及皮下腫瘤摘除術
62021C,3100,腋下汗腺切除術 二邊 Skoog operation,第七節,臉部以外皮膚及皮下腫瘤摘除術
62022C,8700,－ 直徑小於二公分 within 2cm in diameter,第七節,皮膚惡性腫瘤切除及植皮術
62023B,10880,－ 直徑二至五公分 2cm to 5cm in diameter,第七節,皮膚惡性腫瘤切除及植皮術
62024B,13090,－ 直徑超過五公分 over 5cm in diameter,第七節,皮膚惡性腫瘤切除及植皮術
62025B,10351,肌肉瓣或肌皮瓣 Muscle or myocutaneous flap,第七節,皮膚惡性腫瘤切除及植皮術
62026B,10880,咽部皮瓣手術 Pharyngeal flap,第七節,皮膚惡性腫瘤切除及植皮術
62027B,9312,唇部皮瓣手術 Lip flap 註：唇部皮瓣包括Abbe flap及Exlander flap。,第七節,皮膚惡性腫瘤切除及植皮術
62029B,13111,交腳皮瓣移植術 Cross leg skin flap,第七節,皮膚惡性腫瘤切除及植皮術
62030B,7540,交掌皮瓣移植術 Cross palm skin flap,第七節,皮膚惡性腫瘤切除及植皮術
62031B,11124,交臂皮瓣移植術 Cross arm skin flap,第七節,皮膚惡性腫瘤切除及植皮術
62032B,26627,－ 皮瓣移植 skin flap,第七節,皮膚惡性腫瘤切除及植皮術
62033B,26765,－ 肌肉移植 muscle flap,第七節,皮膚惡性腫瘤切除及植皮術
62034B,38342,－ 骨移植 bone flap,第七節,皮膚惡性腫瘤切除及植皮術
62035B,38342,－ 腸系膜移植 omentum flap,第七節,皮膚惡性腫瘤切除及植皮術
